fips,County Name,State,Population,Approximate Population Density,cases,COVID_deaths,confirmed_cases,confirmed_deaths,MaskWearing_NEVER,MaskWearing_RARELY,MaskWearing_SOMETIMES,MaskWearing_FREQUENTLY,MaskWearing_ALWAYS,% Unemployed,Median Household Income,% African American,% Hispanic,% Asian American,% White American,% Native American and Alaska Native,% Native Hawaiian and Other Pacific Islander,Approx. % People with College or Associate's Degree per Year,Statewide Mask Requirement,votes_dem2016,votes_gop2016,total_votes2016,per_dem2016,per_gop2016,votes_gop2020,votes_dem2020,total_votes2020,diff2020,per_gop2020,per_dem2020,Percent Male,Percent Female,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
1001,"Autauga County, AL",AL,55869,93.9853616,987,21,949,20,0.053,0.074,0.134,0.295,0.444,2.7,59338,20.11,2.99,1.17,76.26,0.48,0.1,4.72,Yes,5908,18110,24661,0.2395685495,0.734357893,19838,7503,27770,12335,0.714368023,0.2701836514,0.4871579409,0.5128420591,4291,12551,10596,9929,11.5,33.6,28.4,26.6
1003,"Baldwin County, AL",AL,223234,140.4163357,2908,21,2865,20,0.083,0.059,0.098,0.323,0.436,2.7,57588,8.78,4.72,1.07,87.44,0.78,0.07,5.15,Yes,18409,72780,94090,0.1956530981,0.7735147199,83544,24578,109679,58966,0.7617137282,0.2240902999,0.4893640249,0.5106359751,13893,41797,47274,48148,9.2,27.7,31.3,31.9
1005,"Barbour County, AL",AL,24686,27.89781782,584,4,538,4,0.067,0.121,0.12,0.201,0.491,3.8,34382,48.23,4.52,0.47,49.15,0.69,0.21,4.62,Yes,4848,5431,10390,0.4666025024,0.5227141482,5622,4816,10518,806,0.5345122647,0.4578817266,0.5306420945,0.4693579055,4812,6396,4676,2080,26.8,35.6,26,11.6
1007,"Bibb County, AL",AL,22394,35.96968888,344,2,336,2,0.02,0.034,0.096,0.278,0.572,3.1,46064,21.27,2.78,0.21,76.77,0.46,0.12,4.29,Yes,1874,6733,8748,0.2142203932,0.7696616369,7525,1986,9595,5539,0.7842626368,0.2069828035,0.5364594725,0.4635405275,3386,7256,3848,1678,20.9,44.9,23.8,10.4
1009,"Blount County, AL",AL,57826,89.67999081,694,3,623,3,0.053,0.114,0.18,0.194,0.459,2.7,50412,1.69,9.65,0.32,95.83,0.64,0.12,5.74,Yes,2150,22808,25384,0.08469902301,0.898518752,24711,2640,27588,22071,0.8957155285,0.0956937799,0.4947887619,0.5052112381,7763,13299,13519,5210,19.5,33.4,34,13.1
1011,"Bullock County, AL",AL,10101,16.21861804,432,12,425,11,0.031,0.04,0.144,0.286,0.5,3.6,29267,70.26,8.55,0.21,26.62,0.83,0.76,3.92,Yes,3530,1139,4701,0.750904063,0.2422888747,1146,3446,4613,-2300,0.2484283546,0.7470192933,0.5411311054,0.4588688946,1798,2860,1587,856,25.3,40.3,22.3,12.1
1013,"Butler County, AL",AL,19448,25.03524604,742,36,728,35,0.102,0.053,0.257,0.137,0.451,3.6,37365,44.98,1.49,1.43,52.07,0.4,0.04,4.4,Yes,3716,4891,8685,0.4278641336,0.5631548647,5458,3965,9488,1493,0.5752529511,0.4178962901,0.4704842869,0.5295157131,2066,6244,3279,2230,15,45.2,23.7,16.1
1015,"Calhoun County, AL",AL,113605,187.5021883,1292,6,1253,6,0.152,0.108,0.13,0.167,0.442,3.5,45400,21.31,4.06,0.9,75.1,0.53,0.11,5.86,Yes,13197,32803,47376,0.2785587639,0.6923969943,35101,15216,50983,19885,0.6884843968,0.2984524253,0.4822905764,0.5177094236,12315,25940,26233,14620,15.6,32.8,33.2,18.5
1017,"Chambers County, AL",AL,33254,55.7458586,844,38,796,38,0.117,0.037,0.15,0.136,0.56,2.9,39917,40.19,2.62,1.12,57.05,0.33,0.05,5.26,Yes,5763,7803,13778,0.4182755117,0.5663376397,8753,6365,15284,2388,0.5726903952,0.4164485737,0.4786369901,0.5213630099,4372,8739,7515,3163,18.4,36.7,31.6,13.3
1019,"Cherokee County, AL",AL,26196,47.30933259,227,8,211,7,0.135,0.027,0.161,0.158,0.52,2.9,42132,4.1,1.71,0.39,93.18,0.69,0.03,5.17,Yes,1524,8809,10503,0.1451013996,0.8387127487,10583,1624,12301,8959,0.860336558,0.1320217868,0.4962466798,0.5037533202,3478,7598,5391,2407,18.4,40.3,28.6,12.8
1021,"Chilton County, AL",AL,44428,64.12349778,671,6,637,5,0.06,0.07,0.058,0.194,0.618,2.7,47547,10.34,8.18,0.49,87.06,0.56,0.17,4.02,Yes,2909,15068,18255,0.1593536018,0.8254176938,16085,3073,19310,13012,0.8329880891,0.1591403418,0.4952261019,0.5047738981,5474,13348,7401,3823,18.2,44.4,24.6,12.7
1023,"Choctaw County, AL",AL,12589,13.78111977,269,12,265,12,0.049,0.038,0.126,0.219,0.568,4.7,39907,41.74,1.02,0.2,57.12,0.21,0,5.66,Yes,3109,4102,7268,0.4277655476,0.5643918547,4296,3127,7464,1169,0.575562701,0.4189442658,0.4820809249,0.5179190751,1737,3515,2964,1113,18.6,37.7,31.8,11.9
1025,"Clarke County, AL",AL,23622,19.07370056,470,9,453,9,0.049,0.088,0.164,0.268,0.43,5.8,40741,45.02,1.31,0.44,52.99,0.56,0.02,4.45,Yes,5712,7109,12936,0.4415584416,0.5495516388,7324,5755,13135,1569,0.5575942139,0.4381423677,0.4725952954,0.5274047046,3259,7005,4456,2050,19.4,41.8,26.6,12.2
1027,"Clay County, AL",AL,13235,21.91375816,185,4,182,4,0.148,0.158,0.195,0.169,0.329,3,39201,13.78,3.29,0.29,83.23,0.57,0,5.1,Yes,1234,5230,6572,0.1877662812,0.7958003652,5601,1267,6930,4334,0.8082251082,0.1828282828,0.4900590693,0.5099409307,2205,3577,2678,999,23.3,37.8,28.3,10.6
1029,"Cleburne County, AL",AL,14910,26.62015572,109,1,109,1,0.151,0.125,0.138,0.217,0.368,3.2,46495,2.84,2.6,0.22,95.08,0.53,0.07,4.22,Yes,684,5738,6532,0.104715248,0.8784445805,6484,675,7227,5809,0.897191089,0.09339975093,0.498163606,0.501836394,2198,3980,2687,1616,21,38,25.6,15.4
1031,"Coffee County, AL",AL,52342,77.08884372,686,5,664,5,0.101,0.152,0.094,0.186,0.466,2.9,55122,17.61,7.97,1.68,75.79,1.4,0.39,5.82,Yes,4194,15825,20513,0.204455711,0.7714619997,16899,5076,22275,11823,0.7586531987,0.2278787879,0.4942111871,0.5057888129,4967,9615,12667,8044,14.1,27.2,35.9,22.8
1033,"Colbert County, AL",AL,55241,93.2153188,965,11,950,11,0.082,0.096,0.152,0.159,0.51,3.7,49055,16.22,3.24,0.68,80.45,0.69,0.07,5.19,Yes,7296,16718,24626,0.2962722326,0.6788759847,19203,8343,27886,10860,0.6886251165,0.2991823854,0.4806771703,0.5193228297,5783,14740,11366,7070,14.8,37.8,29.2,18.1
1035,"Conecuh County, AL",AL,12067,14.19391705,361,10,350,10,0.099,0.052,0.259,0.192,0.399,4,32613,46.08,2.3,0.23,51.75,0.56,0.02,3.9,Yes,3069,3413,6543,0.4690508941,0.5216261654,3442,2966,6441,476,0.53438907,0.4604875019,0.4843667197,0.5156332803,1384,4516,1805,1128,15.7,51.1,20.4,12.8
1037,"Coosa County, AL",AL,10663,16.38134455,93,2,88,2,0.055,0.131,0.167,0.263,0.384,3,42423,30.89,2.63,0.17,66.75,0.61,0.17,5.68,Yes,1780,3376,5223,0.3408003063,0.646371817,3631,1796,5479,1835,0.6627121738,0.3277970433,0.505698248,0.494301752,1652,3327,2221,1059,20,40.3,26.9,12.8
1039,"Covington County, AL",AL,37049,35.95414142,740,21,651,20,0.187,0.128,0.129,0.201,0.356,3.4,40203,12.52,1.85,0.5,84.51,0.76,0.01,5.8,Yes,2379,13222,15818,0.1503982804,0.8358831711,14586,2721,17430,11865,0.8368330465,0.1561101549,0.4845109918,0.5154890082,4366,9819,8119,4020,16.6,37.3,30.8,15.3
1041,"Crenshaw County, AL",AL,13772,22.62017652,272,4,264,3,0.06,0.091,0.199,0.233,0.416,2.8,39057,23.88,2.42,1.1,72.17,0.66,0.04,4.22,Yes,1663,4511,6252,0.2659948816,0.7215291107,4864,1700,6617,3164,0.7350763186,0.2569140094,0.4831493108,0.5168506892,2016,3830,2157,1687,20.8,39.5,22.3,17.4
1043,"Cullman County, AL",AL,83768,113.9864422,1066,10,1018,10,0.13,0.024,0.249,0.217,0.379,2.6,45796,1.38,4.48,0.72,95.73,0.64,0.08,5.54,Yes,3730,32734,37278,0.100059016,0.8781050486,36880,4478,41851,32402,0.8812214762,0.106998638,0.4939236543,0.5060763457,10648,19668,19406,8004,18.4,34.1,33.6,13.9
1045,"Dale County, AL",AL,49172,87.63131398,741,17,729,17,0.089,0.113,0.118,0.22,0.46,3.1,45309,20.98,7.02,1.45,73.77,0.86,0.18,6.12,Yes,4408,13798,18617,0.236772842,0.7411505613,14303,5170,19738,9133,0.724642821,0.2619313,0.4940031771,0.5059968229,4651,10819,11961,6078,13.9,32.3,35.7,18.1
1047,"Dallas County, AL",AL,37196,38.00590407,1295,22,1227,22,0.095,0.1,0.159,0.122,0.524,5.5,34035,70.71,1.15,0.45,27.58,0.31,0.05,5.43,Yes,12826,5784,18730,0.6847837694,0.3088093967,5524,12230,17864,-6706,0.3092252575,0.684617107,0.4623231401,0.5376768599,4757,9411,8178,3854,18.2,35.9,31.2,14.7
1049,"DeKalb County, AL",AL,71513,92.02660802,1565,11,1537,10,0.084,0.051,0.106,0.179,0.58,2.8,39491,1.87,15.07,0.52,92.71,2.02,0.61,4.7,Yes,3682,21779,26086,0.1411485088,0.8348922794,24767,4281,29356,20486,0.8436776128,0.1458304946,0.4937941892,0.5062058108,12072,16431,13241,6246,25.2,34.2,27.6,13
1051,"Elmore County, AL",AL,81209,131.3030721,1546,35,1486,35,0.042,0.095,0.127,0.252,0.485,2.6,60367,21.15,3.16,0.75,75.68,0.51,0.11,4.99,Yes,8436,27619,36905,0.2285869123,0.7483809782,30164,10367,41030,19797,0.7351693883,0.2526687789,0.4883189021,0.5116810979,7503,18232,16298,14060,13.4,32.5,29.1,25.1
1053,"Escambia County, AL",AL,36633,38.76195777,935,14,872,14,0.114,0.026,0.188,0.285,0.387,3.5,38418,31.26,2.6,0.33,62.28,3.9,0.08,4.33,Yes,4698,10282,15213,0.3088148294,0.6758693223,10869,4918,15910,5951,0.6831552483,0.3091137649,0.5162342747,0.4837657253,4878,11308,6449,3224,18.9,43.7,24.9,12.5
1055,"Etowah County, AL",AL,102268,191.0545458,1791,19,1743,19,0.096,0.103,0.178,0.122,0.501,3.3,44903,15.74,4.14,0.82,80.67,0.61,0.3,5.97,Yes,10350,32132,43474,0.2380733312,0.7391084326,35528,11567,47728,23961,0.7443848475,0.2423524975,0.4849926759,0.5150073241,11127,23668,24422,12815,15.4,32.9,33.9,17.8
1057,"Fayette County, AL",AL,16302,25.97179947,163,5,156,5,0.138,0.048,0.151,0.233,0.429,3.1,39254,11.66,2.05,0.48,85.76,0.48,0.01,5.02,Yes,1358,6705,8196,0.1656905808,0.8180819912,7300,1395,8766,5905,0.8327629478,0.159137577,0.49312286,0.50687714,2037,4831,3387,1451,17.4,41.3,28.9,12.4
1059,"Franklin County, AL",AL,31362,49.48139592,1129,20,1117,20,0.065,0.071,0.223,0.156,0.484,2.8,39388,4.38,17.88,0.36,91.69,1.66,0.22,4.49,Yes,2197,9466,11955,0.1837724801,0.7918025931,10376,2086,12578,8290,0.8249324217,0.1658451264,0.4992752253,0.5007247747,4739,7601,5539,2907,22.8,36.6,26.6,14
1061,"Geneva County, AL",AL,26271,45.73596654,204,1,198,0,0.176,0.131,0.089,0.158,0.445,2.9,37823,9.31,4.17,0.35,87.15,1.12,0.07,5.44,Yes,1522,9967,11659,0.1305429282,0.8548760614,10848,1595,12545,9253,0.8647269829,0.1271422878,0.4889162562,0.5110837438,3672,6714,5943,2331,19.7,36,31.8,12.5
