County Name,State,Population,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,% Unemployed,Median Household Income,Approximate Population Density,% African American,% Hispanic,% Asian American,% White American,% Native American and Alaska Native,% Native Hawaiian and Other Pacific Islander,Approx. % People with College or Associate's Degree per Year,Statewide Mask Requirement,votes_dem2016,votes_gop2016,total_votes2016,per_dem2016,per_gop2016,votes_gop2020,votes_dem2020,total_votes2020,diff2020,per_gop2020,per_dem2020
"Autauga County, AL",AL,55869,1001,0.053,0.074,0.134,0.295,0.444,2.7,59338,93.9853616,20.11,2.99,1.17,76.26,0.48,0.1,4.72,Yes,5908,18110,24661,0.23956855,0.734357893,19838,7503,27770,12335,0.714368023,0.270183651
"Baldwin County, AL",AL,223234,1003,0.083,0.059,0.098,0.323,0.436,2.7,57588,140.4163357,8.78,4.72,1.07,87.44,0.78,0.07,5.15,Yes,18409,72780,94090,0.195653098,0.77351472,83544,24578,109679,58966,0.761713728,0.2240903
"Barbour County, AL",AL,24686,1005,0.067,0.121,0.12,0.201,0.491,3.8,34382,27.89781782,48.23,4.52,0.47,49.15,0.69,0.21,4.62,Yes,4848,5431,10390,0.466602502,0.522714148,5622,4816,10518,806,0.534512265,0.457881727
"Bibb County, AL",AL,22394,1007,0.02,0.034,0.096,0.278,0.572,3.1,46064,35.96968888,21.27,2.78,0.21,76.77,0.46,0.12,4.29,Yes,1874,6733,8748,0.214220393,0.769661637,7525,1986,9595,5539,0.784262637,0.206982804
"Blount County, AL",AL,57826,1009,0.053,0.114,0.18,0.194,0.459,2.7,50412,89.67999081,1.69,9.65,0.32,95.83,0.64,0.12,5.74,Yes,2150,22808,25384,0.084699023,0.898518752,24711,2640,27588,22071,0.895715528,0.09569378
"Bullock County, AL",AL,10101,1011,0.031,0.04,0.144,0.286,0.5,3.6,29267,16.21861804,70.26,8.55,0.21,26.62,0.83,0.76,3.92,Yes,3530,1139,4701,0.750904063,0.242288875,1146,3446,4613,-2300,0.248428355,0.747019293
"Butler County, AL",AL,19448,1013,0.102,0.053,0.257,0.137,0.451,3.6,37365,25.03524604,44.98,1.49,1.43,52.07,0.4,0.04,4.4,Yes,3716,4891,8685,0.427864134,0.563154865,5458,3965,9488,1493,0.575252951,0.41789629
"Calhoun County, AL",AL,113605,1015,0.152,0.108,0.13,0.167,0.442,3.5,45400,187.5021883,21.31,4.06,0.9,75.1,0.53,0.11,5.86,Yes,13197,32803,47376,0.278558764,0.692396994,35101,15216,50983,19885,0.688484397,0.298452425
"Chambers County, AL",AL,33254,1017,0.117,0.037,0.15,0.136,0.56,2.9,39917,55.7458586,40.19,2.62,1.12,57.05,0.33,0.05,5.26,Yes,5763,7803,13778,0.418275512,0.56633764,8753,6365,15284,2388,0.572690395,0.416448574
"Cherokee County, AL",AL,26196,1019,0.135,0.027,0.161,0.158,0.52,2.9,42132,47.30933259,4.1,1.71,0.39,93.18,0.69,0.03,5.17,Yes,1524,8809,10503,0.1451014,0.838712749,10583,1624,12301,8959,0.860336558,0.132021787
"Chilton County, AL",AL,44428,1021,0.06,0.07,0.058,0.194,0.618,2.7,47547,64.12349778,10.34,8.18,0.49,87.06,0.56,0.17,4.02,Yes,2909,15068,18255,0.159353602,0.825417694,16085,3073,19310,13012,0.832988089,0.159140342
"Choctaw County, AL",AL,12589,1023,0.049,0.038,0.126,0.219,0.568,4.7,39907,13.78111977,41.74,1.02,0.2,57.12,0.21,0,5.66,Yes,3109,4102,7268,0.427765548,0.564391855,4296,3127,7464,1169,0.575562701,0.418944266
"Clarke County, AL",AL,23622,1025,0.049,0.088,0.164,0.268,0.43,5.8,40741,19.07370056,45.02,1.31,0.44,52.99,0.56,0.02,4.45,Yes,5712,7109,12936,0.441558442,0.549551639,7324,5755,13135,1569,0.557594214,0.438142368
"Clay County, AL",AL,13235,1027,0.148,0.158,0.195,0.169,0.329,3,39201,21.91375816,13.78,3.29,0.29,83.23,0.57,0,5.1,Yes,1234,5230,6572,0.187766281,0.795800365,5601,1267,6930,4334,0.808225108,0.182828283
"Cleburne County, AL",AL,14910,1029,0.151,0.125,0.138,0.217,0.368,3.2,46495,26.62015572,2.84,2.6,0.22,95.08,0.53,0.07,4.22,Yes,684,5738,6532,0.104715248,0.878444581,6484,675,7227,5809,0.897191089,0.093399751
"Coffee County, AL",AL,52342,1031,0.101,0.152,0.094,0.186,0.466,2.9,55122,77.08884372,17.61,7.97,1.68,75.79,1.4,0.39,5.82,Yes,4194,15825,20513,0.204455711,0.771462,16899,5076,22275,11823,0.758653199,0.227878788
"Colbert County, AL",AL,55241,1033,0.082,0.096,0.152,0.159,0.51,3.7,49055,93.2153188,16.22,3.24,0.68,80.45,0.69,0.07,5.19,Yes,7296,16718,24626,0.296272233,0.678875985,19203,8343,27886,10860,0.688625117,0.299182385
"Conecuh County, AL",AL,12067,1035,0.099,0.052,0.259,0.192,0.399,4,32613,14.19391705,46.08,2.3,0.23,51.75,0.56,0.02,3.9,Yes,3069,3413,6543,0.469050894,0.521626165,3442,2966,6441,476,0.53438907,0.460487502
"Coosa County, AL",AL,10663,1037,0.055,0.131,0.167,0.263,0.384,3,42423,16.38134455,30.89,2.63,0.17,66.75,0.61,0.17,5.68,Yes,1780,3376,5223,0.340800306,0.646371817,3631,1796,5479,1835,0.662712174,0.327797043
"Covington County, AL",AL,37049,1039,0.187,0.128,0.129,0.201,0.356,3.4,40203,35.95414142,12.52,1.85,0.5,84.51,0.76,0.01,5.8,Yes,2379,13222,15818,0.15039828,0.835883171,14586,2721,17430,11865,0.836833046,0.156110155
"Crenshaw County, AL",AL,13772,1041,0.06,0.091,0.199,0.233,0.416,2.8,39057,22.62017652,23.88,2.42,1.1,72.17,0.66,0.04,4.22,Yes,1663,4511,6252,0.265994882,0.721529111,4864,1700,6617,3164,0.735076319,0.256914009
"Cullman County, AL",AL,83768,1043,0.13,0.024,0.249,0.217,0.379,2.6,45796,113.9864422,1.38,4.48,0.72,95.73,0.64,0.08,5.54,Yes,3730,32734,37278,0.100059016,0.878105049,36880,4478,41851,32402,0.881221476,0.106998638
"Dale County, AL",AL,49172,1045,0.089,0.113,0.118,0.22,0.46,3.1,45309,87.63131398,20.98,7.02,1.45,73.77,0.86,0.18,6.12,Yes,4408,13798,18617,0.236772842,0.741150561,14303,5170,19738,9133,0.724642821,0.2619313
"Dallas County, AL",AL,37196,1047,0.095,0.1,0.159,0.122,0.524,5.5,34035,38.00590407,70.71,1.15,0.45,27.58,0.31,0.05,5.43,Yes,12826,5784,18730,0.684783769,0.308809397,5524,12230,17864,-6706,0.309225258,0.684617107
"DeKalb County, AL",AL,71513,1049,0.084,0.051,0.106,0.179,0.58,2.8,39491,92.02660802,1.87,15.07,0.52,92.71,2.02,0.61,4.7,Yes,3682,21779,26086,0.141148509,0.834892279,24767,4281,29356,20486,0.843677613,0.145830495
"Elmore County, AL",AL,81209,1051,0.042,0.095,0.127,0.252,0.485,2.6,60367,131.3030721,21.15,3.16,0.75,75.68,0.51,0.11,4.99,Yes,8436,27619,36905,0.228586912,0.748380978,30164,10367,41030,19797,0.735169388,0.252668779
"Escambia County, AL",AL,36633,1053,0.114,0.026,0.188,0.285,0.387,3.5,38418,38.76195777,31.26,2.6,0.33,62.28,3.9,0.08,4.33,Yes,4698,10282,15213,0.308814829,0.675869322,10869,4918,15910,5951,0.683155248,0.309113765
"Etowah County, AL",AL,102268,1055,0.096,0.103,0.178,0.122,0.501,3.3,44903,191.0545458,15.74,4.14,0.82,80.67,0.61,0.3,5.97,Yes,10350,32132,43474,0.238073331,0.739108433,35528,11567,47728,23961,0.744384847,0.242352497
"Fayette County, AL",AL,16302,1057,0.138,0.048,0.151,0.233,0.429,3.1,39254,25.97179947,11.66,2.05,0.48,85.76,0.48,0.01,5.02,Yes,1358,6705,8196,0.165690581,0.818081991,7300,1395,8766,5905,0.832762948,0.159137577
"Franklin County, AL",AL,31362,1059,0.065,0.071,0.223,0.156,0.484,2.8,39388,49.48139592,4.38,17.88,0.36,91.69,1.66,0.22,4.49,Yes,2197,9466,11955,0.18377248,0.791802593,10376,2086,12578,8290,0.824932422,0.165845126
"Geneva County, AL",AL,26271,1061,0.176,0.131,0.089,0.158,0.445,2.9,37823,45.73596654,9.31,4.17,0.35,87.15,1.12,0.07,5.44,Yes,1522,9967,11659,0.130542928,0.854876061,10848,1595,12545,9253,0.864726983,0.127142288
