sumlev,sumlevstr,state,county,stname,ctyname,yearref,agegrp,tot_pop,tot_male,tot_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,wac_male,wac_female,bac_male,bac_female,iac_male,iac_female,aac_male,aac_female,nac_male,nac_female,nh_male,nh_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,nhwac_male,nhwac_female,nhbac_male,nhbac_female,nhiac_male,nhiac_female,nhaac_male,nhaac_female,nhnac_male,nhnac_female,h_male,h_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,hwac_male,hwac_female,hbac_male,hbac_female,hiac_male,hiac_female,haac_male,haac_female,hnac_male,hnac_female,year,vintage
50,50,01,01001,Alabama,Autauga County,3,0,54742,26668,28074,21355,22041,4586,5152,116,135,203,292,29,17,379,437,21700,22436,4777,5370,258,301,297,397,42,33,25978,27458,20761,21510,4541,5119,107,119,199,288,14,10,356,412,21085,21884,4717,5323,242,272,287,386,25,22,690,616,594,531,45,33,9,16,4,4,15,7,23,25,615,552,60,47,16,29,10,11,17,11,2010,2016
50,50,01,01003,Alabama,Baldwin County,3,0,183199,89651,93548,78751,81805,8420,8923,664,674,553,827,76,54,1187,1265,79857,82975,8852,9418,1303,1333,797,1083,124,117,85190,89925,74697,78535,8288,8793,564,596,546,817,50,44,1045,1140,75675,79602,8666,9228,1121,1185,758,1041,81,83,4461,3623,4054,3270,132,130,100,78,7,10,26,10,142,125,4182,3373,186,190,182,148,39,42,43,34,2010,2016
50,50,01,01005,Alabama,Barbour County,3,0,27348,14512,12836,7427,6483,6786,6121,87,72,61,59,29,17,122,84,7508,6554,6875,6171,150,108,70,70,35,19,13762,12242,6811,5988,6730,6072,31,33,61,59,15,8,114,82,6888,6058,6813,6121,90,67,69,70,20,10,750,594,616,495,56,49,56,39,0,0,14,9,8,2,620,496,62,50,60,41,1,0,15,9,2010,2016
50,50,01,01007,Alabama,Bibb County,3,0,22861,12264,10597,9037,8481,3066,1975,35,33,12,8,27,4,87,96,9109,8567,3107,2024,83,79,26,25,31,7,11965,10488,8778,8393,3053,1963,35,32,12,8,5,1,82,91,8849,8474,3090,2007,80,74,22,25,9,3,299,109,259,88,13,12,0,1,0,0,22,3,5,5,260,93,17,17,3,5,4,0,22,4,2010,2016
50,50,01,01009,Alabama,Blount County,3,0,57376,28389,28987,27413,27995,428,389,179,176,47,82,36,24,286,321,27678,28296,519,490,356,376,82,119,47,37,25804,26901,24974,26000,376,357,140,155,46,78,10,7,258,304,25213,26286,453,447,306,348,76,113,20,18,2585,2086,2439,1995,52,32,39,21,1,4,26,17,28,17,2465,2010,66,43,50,28,6,6,27,19,2010,2016
50,50,01,01011,Alabama,Bullock County,3,0,10892,5894,4998,1759,1113,3988,3749,36,49,10,10,42,34,59,43,1811,1147,4020,3773,61,68,24,19,44,36,5457,4651,1492,886,3913,3712,5,15,10,10,2,2,35,26,1524,906,3934,3726,16,26,17,18,3,3,437,347,267,227,75,37,31,34,0,0,40,32,24,17,287,241,86,47,45,42,7,1,41,33,2010,2016
50,50,01,01013,Alabama,Butler County,3,0,20938,9851,11087,5493,5935,4155,4956,27,35,100,85,3,5,73,71,5560,6000,4194,4995,53,64,112,91,7,9,9742,11002,5431,5880,4121,4933,26,33,94,83,2,5,68,68,5493,5943,4157,4970,49,60,106,89,6,8,109,85,62,55,34,23,1,2,6,2,1,0,5,3,67,57,37,25,4,4,6,2,1,1,2010,2016
50,50,01,01015,Alabama,Calhoun County,3,0,118468,57136,61332,44157,46404,11339,13144,325,268,372,519,59,51,884,946,44957,47267,11782,13617,672,663,580,710,119,115,55004,59558,42382,44929,11168,13005,259,224,346,501,49,45,800,854,43107,45713,11569,13428,573,576,527,676,95,95,2132,1774,1775,1475,171,139,66,44,26,18,10,6,84,92,1850,1554,213,189,99,87,53,34,24,20,2010,2016
50,50,01,01017,Alabama,Chambers County,3,0,34101,16322,17779,9908,10306,6096,7170,34,38,104,97,10,5,170,163,10061,10456,6188,7261,98,95,131,118,17,13,15986,17573,9676,10149,6027,7137,25,35,90,97,3,4,165,151,9825,10292,6117,7222,87,85,116,115,9,11,336,206,232,157,69,33,9,3,14,0,7,1,5,12,236,164,71,39,11,10,15,3,8,2,2010,2016
50,50,01,01019,Alabama,Cherokee County,3,0,25977,12891,13086,11984,12244,621,584,79,53,21,36,4,2,182,167,12154,12404,688,645,179,143,44,55,10,10,12731,12923,11841,12096,620,583,71,48,21,31,1,0,177,165,12006,12254,684,642,168,138,44,50,7,8,160,163,143,148,1,1,8,5,0,5,3,2,5,2,148,150,4,3,11,5,0,5,3,2,2010,2016
