date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
7/29/2020,Autauga,Alabama,1001,987,21,949,20,38,1
7/29/2020,Baldwin,Alabama,1003,2908,21,2865,20,43,1
7/29/2020,Barbour,Alabama,1005,584,4,538,4,46,0
7/29/2020,Bibb,Alabama,1007,344,2,336,2,8,0
7/29/2020,Blount,Alabama,1009,694,3,623,3,71,0
7/29/2020,Bullock,Alabama,1011,432,12,425,11,7,1
7/29/2020,Butler,Alabama,1013,742,36,728,35,14,1
7/29/2020,Calhoun,Alabama,1015,1292,6,1253,6,39,0
7/29/2020,Chambers,Alabama,1017,844,38,796,38,48,0
7/29/2020,Cherokee,Alabama,1019,227,8,211,7,16,1
7/29/2020,Chilton,Alabama,1021,671,6,637,5,34,1
7/29/2020,Choctaw,Alabama,1023,269,12,265,12,4,0
7/29/2020,Clarke,Alabama,1025,470,9,453,9,17,0
7/29/2020,Clay,Alabama,1027,185,4,182,4,3,0
7/29/2020,Cleburne,Alabama,1029,109,1,109,1,,
7/29/2020,Coffee,Alabama,1031,686,5,664,5,22,0
7/29/2020,Colbert,Alabama,1033,965,11,950,11,15,0
7/29/2020,Conecuh,Alabama,1035,361,10,350,10,11,0
7/29/2020,Coosa,Alabama,1037,93,2,88,2,5,0
7/29/2020,Covington,Alabama,1039,740,21,651,20,89,1
7/29/2020,Crenshaw,Alabama,1041,272,4,264,3,8,1
7/29/2020,Cullman,Alabama,1043,1066,10,1018,10,48,0
7/29/2020,Dale,Alabama,1045,741,17,729,17,12,0
7/29/2020,Dallas,Alabama,1047,1295,22,1227,22,68,0
7/29/2020,DeKalb,Alabama,1049,1565,11,1537,10,28,1
7/29/2020,Elmore,Alabama,1051,1546,35,1486,35,60,0
7/29/2020,Escambia,Alabama,1053,935,14,872,14,63,0
7/29/2020,Etowah,Alabama,1055,1791,19,1743,19,48,0
7/29/2020,Fayette,Alabama,1057,163,5,156,5,7,0
7/29/2020,Franklin,Alabama,1059,1129,20,1117,20,12,0
7/29/2020,Geneva,Alabama,1061,204,1,198,0,6,1
7/29/2020,Greene,Alabama,1063,239,11,237,11,2,0
7/29/2020,Hale,Alabama,1065,440,25,432,25,8,0
7/29/2020,Henry,Alabama,1067,238,4,227,3,11,1
7/29/2020,Houston,Alabama,1069,1217,14,1187,12,30,2
7/29/2020,Jackson,Alabama,1071,700,5,690,3,10,2
7/29/2020,Jefferson,Alabama,1073,10847,210,10690,208,157,2
7/29/2020,Lamar,Alabama,1075,182,2,177,2,5,0
7/29/2020,Lauderdale,Alabama,1077,952,9,946,9,6,0
7/29/2020,Lawrence,Alabama,1079,272,0,267,0,5,0
7/29/2020,Lee,Alabama,1081,2486,43,2356,40,130,3
7/29/2020,Limestone,Alabama,1083,1096,12,1080,11,16,1
7/29/2020,Lowndes,Alabama,1085,557,26,541,24,16,2
7/29/2020,Macon,Alabama,1087,305,12,295,12,10,0
7/29/2020,Madison,Alabama,1089,4581,30,4501,25,80,5
7/29/2020,Marengo,Alabama,1091,502,13,496,13,6,0
7/29/2020,Marion,Alabama,1093,519,24,496,24,23,0
7/29/2020,Marshall,Alabama,1095,2775,29,2727,28,48,1
7/29/2020,Mobile,Alabama,1097,7717,185,7683,180,34,5
7/29/2020,Monroe,Alabama,1099,414,4,370,3,44,1
7/29/2020,Montgomery,Alabama,1101,5971,141,5885,138,86,3
7/29/2020,Morgan,Alabama,1103,2057,15,2031,14,26,1
7/29/2020,Perry,Alabama,1105,424,3,403,3,21,0
7/29/2020,Pickens,Alabama,1107,346,10,340,9,6,1
7/29/2020,Pike,Alabama,1109,626,7,616,7,10,0
7/29/2020,Randolph,Alabama,1111,388,11,378,10,10,1
7/29/2020,Russell,Alabama,1113,1146,1,1121,1,25,0
7/29/2020,Shelby,Alabama,1117,2922,31,2784,30,138,1
7/29/2020,St. Clair,Alabama,1115,1166,9,1097,9,69,0
7/29/2020,Sumter,Alabama,1119,355,16,350,16,5,0
7/29/2020,Talladega,Alabama,1121,916,13,790,12,126,1
7/29/2020,Tallapoosa,Alabama,1123,813,79,771,78,42,1
7/29/2020,Tuscaloosa,Alabama,1125,3759,63,3694,61,65,2
7/29/2020,Walker,Alabama,1127,1432,62,1407,59,25,3
7/29/2020,Washington,Alabama,1129,299,10,294,10,5,0
7/29/2020,Wilcox,Alabama,1131,401,9,392,9,9,0
7/29/2020,Winston,Alabama,1133,412,10,401,10,11,0
7/29/2020,Aleutians East Borough,Alaska,2013,3,0,3,0,,
7/29/2020,Aleutians West Census Area,Alaska,2016,87,0,87,0,,
